feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,Magnitude
1.5,2.831981723,25.67541026,350.899843,91.20748587,0.078671795,0.035065086,0.813263036,265,200,231,54,265,-3.507879111,0.607810071,0.689682767,9.983881038,4.352325845,0.000960814,0.004729534,7
0.010067114,1.818272396,1.531965497,5.58628455,11.51833156,0.03887901,0.009598528,0.449367115,169,39,71,207,239,-4.718772312,0.543617934,0.262590703,3.723143528,1.054566836,5.77E-05,0.000689472,6.6
1.5,3.111110339,0.211051744,0.101787279,0.872278492,0.006740881,0.003501067,0.078918369,232,137,27,282,299,-8.074702675,0.53668374,0.058952654,0.902986562,0.425100454,8.49E-06,3.46E-05,4.5
1.5,2.504624658,17.07324425,173.5952882,131.6058846,0.094464066,0.034894773,1.433832548,278,246,10,240,289,-2.709568516,0.413950174,0.686233555,9.275714487,3.675793229,0.000748056,0.004707698,6.5
1.5,3.212971017,0.159884803,0.544994578,0.101822571,0.004973711,0.003191302,0.067369725,9,4,105,274,299,-8.6305043,0.463869337,0.053103838,0.821281574,0.391534094,7.35E-06,2.81E-05,5.1
1.5,3.251329567,15.69171261,284.1851581,320.9846035,0.05953155,0.032040639,0.362768786,29,49,128,57,279,-4.353748102,1.031091366,0.600364714,9.320395964,4.549659688,0.000963373,0.003597762,6.2
1.5,1.558836921,2.514868931,2.235384883,1.263502224,0.060790795,0.008004075,2.381680609,273,265,289,261,292,-2.360976815,0.160374077,0.304246962,4.019965959,1.105959377,5.70E-05,0.000925662,6
1.5,3.137901432,45.82775846,135.1048882,9.330300678,0.089018912,0.056934537,0.442770958,24,39,148,293,299,-3.650096321,1.263231719,0.929464009,13.9118482,6.536646101,0.002145721,0.008603088,6.5
0.01010101,1.237303275,61.42570381,32.70875324,10.32799188,0.210293704,0.034017247,3.0471542,165,97,180,50,292,-0.981782397,0.433622397,1.397846304,19.86688672,3.948105067,0.000757507,0.019534129,6.5
1.5,2.282356151,12.52126664,138.5554287,75.7143887,0.048135065,0.021192289,0.62380581,142,108,31,299,299,-4.167572667,0.48483283,0.369705265,5.216135686,1.933609836,0.000178822,0.001355235,7
1.5,3.214972116,0.233424447,0.883102448,3.838272343,0.00588608,0.003696008,0.072521453,45,40,2,278,299,-8.031196388,0.509964013,0.060867072,0.952584869,0.445654152,9.67E-06,3.69E-05,5.8
0.01010101,0.904104684,15.53429101,6.777884304,3.892014372,0.141977303,0.01998589,2.002522062,295,288,282,276,297,-1.666946713,0.445473098,0.841144564,11.62078057,1.558706403,0.0001464,0.007070739,6.4
0.01010101,0.721092382,1.888602969,1.689492532,0.438355213,0.039547172,0.004634206,1.00429948,282,298,298,106,125,-3.977027896,0.247418437,0.287106023,4.017047557,0.454416074,1.08E-05,0.000820118,6.5
1.5,2.873980274,0.654464916,8.821227636,27.78071186,0.015538284,0.006140249,0.426987166,290,45,63,293,299,-5.465832816,0.228648361,0.10639098,1.546453691,0.70457196,2.36E-05,0.000112727,6.2
1.5,3.033871167,0.102728701,0.021505767,0.049576354,0.005164649,0.002707227,0.094783736,121,7,185,289,299,-8.002684463,0.342363045,0.043860408,0.660883788,0.299356574,4.47E-06,1.92E-05,7
0.166666667,0.88004792,0.019476192,0.016584304,0.019817344,0.004492373,0.000430565,0.447062237,63,74,127,149,55,-6.823496179,0.063137547,0.026547197,0.371083211,0.059506086,1.38E-07,7.05E-06,4.2
1.5,3.135837059,10.67675679,37.20292635,97.68575846,0.048546474,0.018733492,0.68531638,93,258,2,245,255,-3.67014852,0.445088577,0.409429634,6.15152216,3.126352338,0.000416592,0.001672492,6.6
1.5,2.722110681,9.335836578,194.5619527,22.05423886,0.033686238,0.013050225,0.35732798,293,174,90,65,299,-4.565668215,0.592332219,0.256919624,3.691521527,1.642731816,0.000123175,0.000656251,6.1
1.5,2.860991628,0.152055436,0.043927542,0.019543229,0.010930308,0.003130769,0.503613231,234,277,273,236,291,-5.791995685,0.136368839,0.058044102,0.801158706,0.375242256,6.96E-06,3.36E-05,3.8
1.5,1.288160338,0.025652687,0.039817306,1.51713582,0.006428423,0.000785824,0.190915811,298,232,206,280,298,-7.34695414,0.211564308,0.030339319,0.401890982,0.089303457,3.87E-07,9.20E-06,6.7
1.5,3.144366679,19.32746078,29.36114569,33.14105018,0.05744503,0.033224018,0.414515104,121,247,4,285,299,-4.028887996,0.870746956,0.555214495,8.343501682,3.971601452,0.000768913,0.003070227,6.5
1.5,3.252409172,15.41422358,24.57490774,10.09623981,0.049256515,0.030710254,0.291353775,282,3,196,298,299,-4.407520651,1.06224061,0.528274514,8.434646869,3.994904083,0.000744574,0.002778801,6.4
0.011235955,0.552782037,0.179028656,0.355713634,0.319007044,0.013904179,0.000896316,1.001977824,292,231,214,294,297,-4.877008491,0.087190084,0.079947749,1.070064081,0.107876987,4.92E-07,6.35E-05,4.4
1.5,3.163860098,10.19788671,15.35827883,2.281901913,0.046071972,0.024674434,0.24927619,254,287,286,261,299,-4.695717206,1.161277126,0.421798966,6.545693366,3.087791526,0.00044985,0.001774162,6.7
1.5,2.91186485,5.499170546,1.437133938,4.386632988,0.04633494,0.022453575,0.194763766,276,182,281,279,299,-4.772353266,1.494790421,0.377320575,5.644326543,2.405729722,0.000304879,0.001419532,6.5
1.5,3.146079304,47.01119702,11.78567955,3.985496992,0.098003406,0.053566174,0.928765943,157,244,255,275,299,-2.905918461,0.663001875,0.877336004,13.52017775,6.284813294,0.001923789,0.007673225,4.9
1,2.012951796,4.563047979,0.437881153,6.282709877,0.059919479,0.018212129,0.878360808,201,298,248,150,198,-3.990477508,0.428622481,0.426817478,5.827249136,1.704933475,0.000186978,0.001821727,6.5
1.5,3.076743498,1.495252787,0.72851147,0.10192417,0.015167906,0.008778518,0.119432205,246,246,178,270,299,-6.502632142,0.797965385,0.138118786,2.002836056,0.95054651,4.55E-05,0.000189814,7
1.5,3.209477833,0.380396874,0.000814899,0.010413339,0.007307708,0.004781033,0.044430459,2,170,66,290,299,-8.222989734,1.033428018,0.07699185,1.190470456,0.56431591,1.54E-05,5.90E-05,7
3,2.682341399,0.018917014,0.038743482,0.004741171,0.000910461,0.00027258,0.061512397,188,191,187,190,155,-10.35497675,0.092999021,0.007088988,0.104521481,0.044034057,9.16E-08,5.02E-07,6.5
0.010067114,0.977443815,12.92085158,20.04981471,1.792930307,0.112660343,0.015693189,1.047868864,218,253,281,84,99,-2.61700982,0.675529007,0.774172103,10.19360579,1.541853955,0.000144524,0.005971934,6.5
1.5,3.17181656,1.695541144,0.02278646,0.635058999,0.015076001,0.00973035,0.183799599,63,36,155,298,299,-6.045267599,0.515372752,0.155443929,2.39359238,1.124136115,6.13E-05,0.000240511,4.3
0.010600707,0.786141249,0.049815868,4.091383088,3.928822819,0.007758774,0.000824704,0.260338002,152,82,224,190,141,-6.855679692,0.187255849,0.046491355,0.622368092,0.082234554,3.38E-07,2.16E-05,5.4
1.5,3.199659614,0.285376235,4.573819527,0.800595908,0.006111064,0.004181627,0.033816579,9,2,47,294,299,-8.748650144,1.135447481,0.067300161,1.039829582,0.490420961,1.17E-05,4.51E-05,6.5
0.010344828,0.498860781,2.256813039,0.641235561,0.90742098,0.128823644,0.004459824,9.529465827,13,149,108,14,16,-0.17351837,0.08493895,0.319828925,3.388950954,0.371257207,6.45E-06,0.001022869,3.9
0.75,2.330663272,12.54834573,42.46488931,27.30804473,0.092763033,0.025299632,0.500880031,35,105,279,41,226,-3.231914377,1.16364656,0.711219046,9.95172326,4.074857689,0.00069599,0.005058289,6.2
0.5,1.453891437,1.226300001,1.623525433,0.948999936,0.031939478,0.005803426,0.702962971,290,266,253,203,213,-4.476824373,0.285479703,0.222848864,3.004870596,0.70924748,2.66E-05,0.000496267,6.5
1.5,2.393329698,5.067630766,45.84710189,81.44565245,0.033375034,0.010080572,0.410732112,205,149,166,102,279,-5.149499989,0.510555465,0.278216775,3.955601363,1.462417221,0.000112308,0.000774041,6.7
0.01,2.497515642,28.91263057,183.607077,111.2401193,0.123595277,0.051320728,0.51433705,128,60,151,210,234,-3.332366156,1.509850451,1.132552271,16.52984395,6.04357053,0.002023631,0.0128078,6.5
1.5,2.740271908,0.059774288,0.016724354,0.018882661,0.004754091,0.00146182,0.128285488,195,234,198,284,296,-8.056037042,0.23284655,0.027836896,0.400238179,0.179163139,1.47E-06,7.73E-06,6.5
1.5,1.867712226,0.636364759,0.412821108,0.2208428,0.036325512,0.003015159,0.87531477,18,48,19,13,299,-3.764905666,0.260751822,0.111261294,1.220024161,0.510760177,1.09E-05,0.000123744,4.5
1,1.489693715,134.6236951,73.34291899,91.3442739,0.427224086,0.077241509,15.57790364,221,299,270,109,145,1.221551764,0.172316389,2.509943106,33.57219613,8.191568993,0.003534494,0.062877173,6.5
3,1.055764654,0.002104019,0.003224258,0.011030062,0.001890875,0.000131477,0.564665119,182,80,181,183,169,-7.049830513,0.021040291,0.007055939,0.084258719,0.015857194,1.41E-08,4.98E-07,6.1
0.075,0.574331483,2.316458493,2.56788825,2.058615005,0.104116038,0.004223984,7.674722406,275,282,285,277,279,-0.706800402,0.085238309,0.309705642,2.697799268,0.437925185,8.01E-06,0.000959077,3.3
1.5,3.129391778,0.529960474,0.438095822,0.638724098,0.009378698,0.005622222,0.106070888,94,114,261,288,299,-7.379300707,0.555553947,0.090776446,1.380373182,0.646651547,2.03E-05,8.20E-05,4.6
0.010452962,0.581211547,0.053919716,0.072475857,0.067772033,0.007928503,0.00055959,0.531578538,93,119,193,86,92,-6.049783145,0.093713821,0.048737138,0.672340509,0.065712033,2.03E-07,2.38E-05,4.5
1.5,3.2047357,0.220334899,0.619090403,0.011815862,0.005488611,0.003660582,0.052284449,55,46,5,277,299,-8.529713369,0.65958348,0.058950537,0.914247928,0.431520538,9.00E-06,3.46E-05,5.4
0.01,1.722373889,0.632215963,0.191617522,1.685635304,0.022463035,0.003488313,0.666570246,44,211,275,275,284,-4.608621156,0.211739739,0.112083236,1.540999198,0.472105411,9.43E-06,0.000125451,5.3
0.3,0.585530654,0.647678491,0.079908939,0.071494465,0.039992975,0.002350045,1.824850262,262,295,249,260,232,-2.989076305,0.137700764,0.171562729,2.293967059,0.206788562,2.53E-06,0.000291346,6.5
0.010526316,0.383785799,0.224017605,0.32131031,0.291956733,0.017313226,0.000714886,0.861691133,148,86,210,146,257,-4.707243217,0.126242691,0.101526911,1.430677424,0.092856384,3.84E-07,0.000103011,5.1
1.5,3.091685037,4.512991002,44.3527152,19.78033678,0.040905919,0.017891598,0.294285465,222,255,170,231,275,-4.789006544,0.873367869,0.335644291,4.929817606,2.329478898,0.000272645,0.001126073,6.7
1.5,3.24189023,3.632705541,7.009015383,1.490809861,0.034536399,0.015584711,0.661664554,20,287,141,31,274,-4.400710661,0.327958625,0.320466695,4.789774634,2.488224254,0.000273388,0.001026934,5.9
1.5,3.185978282,277.4565197,3.277289387,14.67260451,0.214256189,0.123936681,5.581986294,40,110,172,73,299,-0.142983423,0.241170664,2.107268986,32.26084443,15.26290666,0.011384495,0.044277987,5.6
0.010204082,0.980449467,3.528646338,3.601986455,1.196607661,0.04933317,0.00606519,1.322684253,257,255,221,252,31,-3.204068853,0.234348787,0.325725848,4.593407784,0.773821883,2.58E-05,0.001060921,6.7
0.6,1.760029096,55.26029976,46.52499104,51.78303574,0.215472946,0.039472893,8.550075206,206,213,223,246,258,0.008826674,0.158344391,1.216509885,16.94265095,5.175608188,0.001160573,0.014790826,6.5
1.5,3.007451666,3.951785072,26.71620246,30.12060959,0.026318519,0.015147487,0.286205326,79,23,274,294,299,-5.083492903,0.577781465,0.246972666,3.723075852,1.67309929,0.000139113,0.000607196,5
1.5,3.202078302,11.39600706,4.319112641,15.91201998,0.039234129,0.026330679,0.262225411,52,3,79,290,299,-4.898055081,0.940089304,0.42426773,6.56857864,3.101031454,0.000465557,0.001792541,7
1.5,3.102265685,3.512306341,0.233879057,0.384048839,0.023540248,0.014279734,0.126065682,54,101,49,299,299,-6.264945861,1.173259333,0.224330115,3.419987115,1.579534779,0.000122004,0.000500469,6.5
1.5,3.036466066,1.450942057,37.93866478,270.4740712,0.025150917,0.012819678,0.29167488,36,9,11,275,299,-5.279464497,0.541794581,0.218492052,3.26943493,1.465628831,0.000110891,0.000474808,6.1
1.5,2.434936315,58.79637701,1310.199253,1210.95435,0.216725266,0.065005394,1.486705772,239,62,166,213,240,-1.541892984,0.915934434,1.588016135,21.86844618,8.337427524,0.003776761,0.025148033,6.8
1.5,2.889731515,0.903082025,1.693917768,13.42017954,0.015612585,0.008649167,0.140539108,11,48,174,271,299,-6.829919671,0.698003346,0.143645248,2.142587591,0.94102636,4.35E-05,0.00020557,6.5
1.5,2.896372226,8.20423256,2.917647263,32.4884511,0.045286982,0.020610905,0.646060782,107,250,69,278,299,-3.973958785,0.440433017,0.443678691,6.816179971,3.069223352,0.000417342,0.001964006,6.2
0.010033445,1.195275134,5.099203239,4.576566878,0.903754329,0.064970562,0.009999766,1.066261699,235,227,227,249,97,-3.169996872,0.382853556,0.42247105,5.830083757,1.129896716,6.45E-05,0.001781157,6.5
1.5,3.197839302,58.57111582,0.652832739,74.88977012,0.089831957,0.059649544,0.6146957,98,152,205,291,299,-3.310359521,0.918228048,0.961777788,14.88387059,7.018246163,0.002386315,0.009212429,4.5
1.5,2.448754955,0.004880809,3.04317272,0.058117949,0.001852351,0.000765437,0.065976874,291,5,273,261,299,-9.347693195,0.176405214,0.012751153,0.177339206,0.064339499,2.46E-07,1.62E-06,6.2
0.010033445,1.109098346,7.749907696,2.594438217,279.6572881,0.097338951,0.023666586,1.169405478,173,227,230,298,299,-2.996765448,0.522999657,0.572344608,6.865910248,1.16343466,0.000100633,0.003229697,6.3
1.5,2.380698283,48.15562201,1688.888787,29.45939093,0.137662028,0.06041343,0.913278182,269,39,233,282,299,-2.568474878,0.947089342,1.088522427,14.26235628,5.37497194,0.001693081,0.011793124,6.5
0.230769231,1.297689325,18.55109475,13.73969321,19.23882986,0.150965125,0.024680872,3.967717673,127,182,215,123,260,-1.116103283,0.239064857,0.905869481,12.03180763,2.293713426,0.000348233,0.008163711,6.7
0.01,2.144966293,43.43157604,3.926215093,2.5657485,0.155499715,0.045308813,1.096096714,156,279,263,164,250,-2.110276844,0.891375285,1.188234278,17.22173696,5.227356575,0.001643714,0.014104087,6.7
1,2.600295942,0.55484089,148.9494234,58.75471933,0.015248859,0.004779585,0.325221076,162,8,42,20,299,-5.734502253,0.294603921,0.103124548,1.439986266,0.631257914,1.82E-05,0.000106178,5.4
0.010135135,0.356343493,1.037846691,0.472162864,0.312564871,0.098885511,0.003083866,4.453012992,287,299,290,285,299,-1.357924283,0.1395271,0.2195343,1.028976701,0.08486341,1.54E-06,0.000479327,4.5
0.010067114,1.999842349,60.44532953,152.9607123,300.2213995,0.196293895,0.051621431,1.570501212,278,128,51,296,299,-1.596282017,0.785323124,1.297786237,17.67891044,6.311678636,0.00168727,0.016655314,6.2
1.5,1.488859202,0.034784364,0.043728229,0.005247453,0.008759169,0.002067153,0.162713713,288,297,236,291,299,-6.858320862,0.338235075,0.037868569,0.376351782,0.106832556,7.90E-07,1.41E-05,6.5
1.5,3.195871226,22.97844803,19.37366621,16.95441254,0.055499759,0.037040069,0.395003423,14,14,9,299,299,-4.149157925,0.882815822,0.595098112,9.22070384,4.34146689,0.000912227,0.003526017,4.4
0.010791367,0.689642496,0.248174448,4.364836302,0.642367022,0.021042901,0.001565008,1.23206524,280,295,299,223,280,-4.406288653,0.107312861,0.100718838,1.057754302,0.153039946,1.22E-06,0.000101356,4.5
0.01,2.414486682,46.26597329,24.83425306,20.36485639,0.167358202,0.054440904,1.899894809,282,237,248,150,199,-1.947156266,0.553474114,1.295435093,18.04441702,6.752486314,0.002469905,0.01672593,7
0.01,1.567400531,4.4227137,12.61187463,3.040576355,0.097090976,0.013761357,6.076061565,261,272,237,262,219,-1.126956713,0.10040066,0.416196336,5.102845633,1.270216094,0.000107778,0.001731933,6.6
1.5,1.207389717,0.070675903,0.047658812,0.145811597,0.011611805,0.002221631,0.202463117,299,267,297,285,294,-6.82744433,0.36035759,0.047057319,0.313657049,0.055840094,8.17E-07,2.21E-05,6.1
3,2.222286123,0.037383577,0.023236085,1.327802587,0.00301093,0.000506573,0.104597157,295,7,292,290,299,-8.519829019,0.180867517,0.013371412,0.187177723,0.069981623,2.22E-07,1.77E-06,4.4
1.5,3.213000727,0.14036768,0.001362977,0.027416254,0.004335856,0.002884587,0.028255499,225,203,252,283,299,-9.222575636,0.964165842,0.046903817,0.730136484,0.344405359,5.73E-06,2.19E-05,4
1.5,2.507547327,0.391772626,0.696144553,0.287140767,0.012263919,0.004568773,0.163153126,46,78,67,294,299,-7.050486102,0.472295434,0.083362911,1.184540214,0.486311733,1.10E-05,6.90E-05,6.5
1.5,3.190151521,0.144772778,0.533373554,0.685993055,0.004536345,0.003001,0.03779139,2,14,2,279,299,-9.136888114,0.754211432,0.04810904,0.741709444,0.349354859,5.94E-06,2.30E-05,5.8
1.5,3.124668627,0.414581751,0.334849563,0.502682171,0.009062359,0.005491859,0.14515744,249,230,164,265,299,-6.910059811,0.392267045,0.088231271,1.35202403,0.623698198,1.92E-05,7.75E-05,6.5
0.010135135,0.616119824,0.671672868,0.355878291,0.683003221,0.029395239,0.002076655,2.232514972,26,81,118,58,62,-3.215512896,0.082729897,0.166506013,2.305874178,0.238346196,2.66E-06,0.000277151,4.7
1.5,3.193510581,0.211938544,0.154509648,0.092636349,0.005371428,0.003628386,0.047415618,17,6,13,290,299,-8.772809682,0.711784034,0.05835713,0.90237464,0.42438112,8.76E-06,3.39E-05,6.7
1.5,3.229425784,0.203719796,0.262048284,0.215842015,0.006150214,0.003475726,0.080828146,297,52,5,280,294,-8.199664148,0.478087598,0.056561496,0.870822465,0.419530763,8.45E-06,3.20E-05,5.7
1.5,3.240772301,9.786069806,36.68146681,5.966107772,0.022743278,0.01129683,0.418961446,86,211,55,49,299,-5.018327629,0.341082051,0.19628214,2.8615103,1.532084174,0.000102315,0.000384592,6.1
1.5,2.580430625,0.000127301,0.075334919,0.005664858,0.000323814,9.65E-05,0.014267462,169,0,166,213,255,-12.89821244,0.14260291,0.002170124,0.030020156,0.012298258,7.94E-09,4.70E-08,4.4
0.375,0.385776641,2.092844024,1.628897724,2.374184127,0.051205576,0.002405539,4.667962783,55,92,72,53,74,-2.076870737,0.068923884,0.313954809,4.319780637,0.281984101,3.71E-06,0.000985032,4.9
1,1.24825995,0.655971165,0.021130425,0.236887303,0.037200768,0.005450533,1.524312316,280,299,293,282,255,-3.383567874,0.15334083,0.169115542,1.578367575,0.299299703,1.11E-05,0.000281106,7
1.5,3.078074385,28.10640753,229.7226742,104.8874829,0.086362028,0.045246873,0.665463074,50,65,9,251,285,-3.434497342,0.815415079,0.821471163,12.19971844,5.520060695,0.001616595,0.00673601,6.3
1.5,1.708131611,1.227318214,0.654120748,0.969452335,0.021602702,0.004227394,0.55501285,215,244,246,83,151,-5.425546158,0.244559709,0.135610323,1.806259199,0.529807314,1.36E-05,0.000183832,6.4
0.5,1.304212325,3.760123903,2.285368617,2.034129617,0.063620808,0.007193513,1.071607089,276,280,280,29,67,-3.247987799,0.373029751,0.36256641,4.722642923,1.18393249,5.66E-05,0.001314256,4.6
1.5,3.110895993,631.9316972,8.767322527,28.82413712,0.313899193,0.187048034,1.503747886,19,59,171,298,299,-1.064536404,1.311580763,3.010547246,46.36756939,21.41419002,0.0221,0.090153175,6.2
0.103448276,0.239389187,0.392696762,3.982228394,1.164164556,0.022916948,0.000688559,2.200015519,277,222,268,279,64,-3.754600209,0.06545019,0.131547132,1.762368718,0.070621142,2.50E-07,0.000172098,5.1
1.5,3.199263736,235.3416552,1.459164254,202.4363002,0.18354802,0.118599552,2.233847446,115,22,27,288,299,-1.30875153,0.516269017,1.925332773,29.95792769,14.09241507,0.00956894,0.036908251,6.4
1.5,3.238709563,23.02454022,38.65431674,42.79788177,0.095529495,0.045778389,0.552457026,159,9,12,169,252,-3.227161594,1.086472772,0.892695076,13.44037889,6.858502997,0.002117218,0.007968586,6.7
0.5,1.620106614,2.611146399,4.108823418,22.45916877,0.022469675,0.006968674,0.293840533,277,172,285,211,299,-5.439320661,0.480468535,0.192515447,2.745001085,0.725781353,2.46E-05,0.000369622,6.1
1.5,1.185889051,3.798197657,49.30978639,26.94307165,0.105931999,0.006619364,6.945551464,198,188,204,216,219,-1.087766169,0.095829738,0.351584463,4.157449986,1.015245842,4.40E-05,0.00123517,3.7
1.5,3.149118627,138.9227509,163.0760988,77.57140624,0.164409561,0.093703289,1.125585031,201,18,42,289,299,-2.157676266,0.917758952,1.566343735,23.62391858,11.29459957,0.006132407,0.024412523,5.7
1.5,3.254103597,0.010390819,0.725135368,0.389983413,0.001981885,0.000985498,0.051284662,210,53,9,254,277,-9.722370513,0.242812426,0.018547397,0.294129429,0.139617021,9.22E-07,3.44E-06,3.6
1.5,2.542534943,0.686794894,50.71779077,7.271475177,0.012475132,0.005280239,0.164762971,185,32,20,105,299,-6.705728177,0.475735316,0.108024978,1.629034693,0.627611222,1.90E-05,0.000116233,5.4
1.5,3.070601941,1.230490867,0.962138729,1.694097703,0.015812608,0.008778598,0.188633304,46,171,295,245,299,-6.147494887,0.526702027,0.146704881,2.183489626,1.024071904,5.11E-05,0.000213974,5
1.5,2.191666545,7.050420116,9.497434094,0.214332747,0.057968684,0.023760168,0.473091982,272,257,284,293,299,-3.92369315,0.769888303,0.526391909,7.201754864,2.578065677,0.000335287,0.002755676,6.5
1.5,3.089383942,262.3410915,39.64247539,66.58917429,0.245337262,0.124517169,2.885040053,278,220,232,298,299,-0.730633602,0.534307827,2.029448508,31.18095143,14.33468296,0.009886287,0.040893021,7
1.5,3.212659987,0.604905323,0.514788519,0.188779304,0.009573871,0.006218795,0.260637842,276,280,280,273,299,-6.004491441,0.230796896,0.101158512,1.566046838,0.740098273,2.67E-05,0.000101951,5.7
1.5,3.067444693,56.04611221,16.33792956,51.06083453,0.101125741,0.058138243,0.754979473,285,120,54,290,299,-2.790299362,0.841601384,0.966033185,14.17906812,6.573672733,0.002216731,0.009300777,6.3
0.01,1.993617557,6.899202647,0.309534842,1.212445226,0.078174612,0.016727987,1.53171362,273,249,250,82,103,-2.785479151,0.320677158,0.525097404,6.689293919,2.393378503,0.000276265,0.002744108,5.7
0.010380623,1.299306834,34.98179725,108.4131029,18.21641368,0.169698784,0.030764946,7.952478681,251,149,276,77,108,-0.692930504,0.134077556,1.180089951,16.90812719,3.57008859,0.000595517,0.013926122,6.2
1.5,2.8005444,1.258678147,1.003113061,0.232084684,0.021256892,0.009774205,0.273739285,71,15,214,247,299,-5.424869592,0.487913132,0.163175549,2.347227807,1.025720102,5.27E-05,0.000265328,6.8
1.5,2.8604557,0.079319266,25.24241362,0.267285114,0.006305298,0.002195573,0.298840956,204,3,289,294,296,-6.656442307,0.13257003,0.041210687,0.59734982,0.273574621,3.52E-06,1.70E-05,5.4
1.5,2.395550116,0.497445292,22.33377499,1.727076209,0.014344472,0.005646016,0.153903114,185,127,136,268,299,-6.730449117,0.585621524,0.106771569,1.555862548,0.5380306,1.65E-05,0.000113724,6.1
0.6,1.17014301,1.33402396,0.982329131,0.785311001,0.037685466,0.004617766,1.330400399,89,137,276,93,57,-3.714901607,0.17798008,0.229233471,3.264662719,0.626589723,1.82E-05,0.000524028,5.2
1.5,3.165132342,15.57413486,6.801722665,6.961903651,0.054975393,0.032706628,0.417475628,20,263,177,265,289,-4.218912434,0.827402991,0.554508468,8.293641047,3.967415754,0.000778575,0.00306815,6.1
1.5,1.179012519,1.828510059,1.175672444,1.995680877,0.042962166,0.005902134,1.731909456,220,229,248,223,177,-3.10876448,0.155862219,0.247346947,3.053532264,0.615617779,2.13E-05,0.000604475,6.8
0.010169492,0.625942272,119.3208662,22.53991715,56.34753889,0.444671211,0.042850616,27.35461487,286,292,299,297,250,2.424971157,0.102138218,2.367209003,26.1569425,2.482620757,0.000554288,0.055850451,6.5
1.5,3.146842149,0.353231521,0.059809035,0.411027938,0.00794356,0.004609481,0.086289873,161,174,150,294,299,-7.959673149,0.57840925,0.075901661,1.173270991,0.546134927,1.44E-05,5.74E-05,7
0.010067114,1.215989288,0.347470111,0.163651245,0.194676144,0.028718125,0.004108532,0.801534001,272,252,243,278,287,-4.564852455,0.22511996,0.122261514,1.433829451,0.302293431,5.59E-06,0.000149122,6.5
1.5,3.210892398,0.081729301,0.070953065,1.600868726,0.003823767,0.002250064,0.079578786,254,218,10,298,299,-8.546518644,0.301907537,0.037104863,0.577808302,0.274124359,3.58E-06,1.37E-05,6.4
